MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MoSold,SaleType,SaleCondition,SalePrice
20,RL,1.4465648595477707,2.2325562269017243,Pave,NA,Reg,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,0,CBlock,3,3,1,3,906.0,1,134.0,1040.0,GasA,4,Y,SBrkr,1.9383064558440293,0,1.9383064558440293,1.0,1,0,3,1,2,5,0,0,0,Detchd,1965.0,1,1.0,384.0,0,0,2,0,0,0,0,0,0,0,NA,NA,2,WD,Normal,2.46567593253044
60,RL,1.4912513280732116,2.2392520801177676,Pave,NA,IR1,Lvl,3,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,4,0,PConc,5,3,1,6,998.0,1,177.0,1175.0,GasA,4,Y,SBrkr,1.9565622418148598,1142,2.047827688205127,1.0,3,0,4,1,4,11,0,2,4,BuiltIn,2005.0,2,3.0,736.0,0,0,2,147,21,0,0,0,0,0,NA,NA,7,New,Partial,2.545633203351453
20,RL,1.4397184637016933,2.2481542567621657,Pave,NA,IR2,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,2,0,CBlock,3,3,1,5,737.0,1,175.0,912.0,GasA,2,Y,SBrkr,1.9192199697744368,0,1.9192199697744368,1.0,1,0,2,1,2,4,0,0,0,Detchd,1962.0,1,1.0,352.0,0,0,2,140,0,0,0,176,0,0,NA,NA,9,WD,Normal,2.4746516278832043
20,RL,1.50648771329857,2.227161188127261,Pave,NA,IR1,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,3,0,PConc,4,3,3,1,0.0,1,1494.0,1494.0,GasA,4,Y,SBrkr,1.989135520445257,0,1.989135520445257,0.0,2,0,3,1,3,7,0,1,4,Attchd,2006.0,0,3.0,840.0,0,0,2,160,33,0,0,0,0,0,NA,NA,8,New,Partial,2.5289839457865013
20,RL,1.4397184637016933,2.229837099420739,Pave,NA,IR1,Lvl,3,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,2,0,CBlock,3,3,1,4,733.0,1,520.0,1253.0,GasA,2,Y,SBrkr,1.9647733933781266,0,1.9647733933781266,1.0,1,1,2,1,2,5,0,1,2,Attchd,1960.0,0,1.0,352.0,0,0,2,0,213,176,0,0,0,0,GdWo,NA,5,WD,Normal,2.481902231400466
45,RM,1.3691038556058743,2.1655409522312277,Pave,NA,Reg,Lvl,3,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,0,BrkTil,3,3,1,1,0.0,1,832.0,832.0,GasA,4,Y,FuseA,1.9095323113196798,0,1.9095323113196798,0.0,1,0,2,1,2,5,0,0,0,Detchd,1991.0,1,2.0,576.0,0,0,2,48,112,0,0,0,0,0,GdPrv,NA,7,WD,Normal,2.4672989739557343
20,RL,1.4397184637016933,2.2329480591642663,Pave,NA,IR1,Lvl,3,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,2,0,CBlock,3,3,1,5,578.0,1,426.0,1004.0,GasA,4,Y,SBrkr,1.9332224712633668,0,1.9332224712633668,1.0,1,0,2,1,2,5,0,1,3,Attchd,1970.0,2,2.0,480.0,0,0,2,0,0,0,0,0,0,0,NA,Shed,3,WD,Normal,2.4775212434332223
90,RL,1.453173761903945,2.228558257957021,Pave,NA,Reg,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,0,Slab,0,0,0,0,0.0,0,0.0,0.0,GasA,2,Y,SBrkr,1.96949244190255,0,1.96949244190255,0.0,2,0,2,2,2,6,0,0,0,CarPort,1967.0,1,2.0,516.0,0,0,2,0,0,0,0,0,0,0,NA,Shed,10,WD,Normal,2.4342767273655532
20,RL,1.4326183300679207,2.2538974621460968,Pave,NA,Reg,Lvl,3,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,0,PConc,3,3,1,6,646.0,1,468.0,1114.0,GasA,4,Y,SBrkr,1.9481522651316345,0,1.9481522651316345,1.0,1,1,3,1,3,6,0,0,0,Detchd,2004.0,1,2.0,576.0,0,0,2,0,102,0,0,0,0,0,NA,NA,6,WD,Normal,2.4829597125018665
20,RL,1.4465648595477707,2.1894865457506874,Pave,NA,Reg,Lvl,3,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,2,0,CBlock,3,3,1,2,504.0,1,525.0,1029.0,GasA,2,Y,SBrkr,1.974036350814528,0,1.974036350814528,0.0,1,0,3,1,2,6,1,0,0,Attchd,1958.0,1,1.0,294.0,0,0,2,0,0,0,0,0,0,0,MnPrv,NA,5,COD,Abnorml,2.471671889783842
60,RL,1.5293379817722996,2.25780245548085,Pave,NA,IR1,Lvl,3,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,3,0,PConc,5,3,3,1,0.0,1,1158.0,1158.0,GasA,4,Y,SBrkr,1.95365857491023,1218,2.0506785340718574,0.0,3,1,4,1,3,9,0,1,4,BuiltIn,2005.0,0,3.0,853.0,0,0,2,240,154,0,0,0,0,0,NA,NA,11,New,Partial,2.541011513059902
45,RM,1.396999671219974,2.1878289176154664,Pave,Grvl,Reg,Bnk,3,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,0,PConc,3,3,1,1,0.0,1,637.0,637.0,GasA,4,Y,FuseF,1.947382188973762,0,1.947382188973762,0.0,1,0,3,1,3,6,0,1,4,Attchd,1930.0,1,1.0,280.0,0,0,0,0,0,205,0,0,0,0,GdPrv,NA,6,WD,Normal,2.47191451442482
20,RL,1.4626737779454593,2.217484803008322,Pave,NA,Reg,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,3,0,PConc,4,3,1,1,0.0,1,1777.0,1777.0,GasA,4,Y,SBrkr,2.01393726113639,0,2.01393726113639,0.0,2,0,3,1,3,7,0,1,4,Attchd,2002.0,0,2.0,534.0,0,0,2,171,159,0,0,0,0,0,NA,NA,9,WD,Normal,2.5133187258506307
120,RM,1.3308317646057786,2.122086412796886,Pave,NA,Reg,Lvl,3,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,0,PConc,4,3,1,6,840.0,1,200.0,1040.0,GasA,2,Y,SBrkr,1.9410446441034594,0,1.9410446441034594,1.0,1,0,3,1,2,6,0,1,3,Attchd,1976.0,1,2.0,572.0,0,0,2,100,110,0,0,0,0,0,NA,NA,6,WD,Normal,2.465937891952014
20,RL,1.4397184637016933,2.1991653054896823,Pave,NA,IR1,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,2,1,CBlock,3,3,2,3,188.0,5,204.0,1060.0,GasA,4,Y,SBrkr,1.9410446441034594,0,1.9410446441034594,1.0,1,0,3,1,3,6,0,1,3,Attchd,1968.0,1,1.0,270.0,0,0,2,406,90,0,0,0,0,0,MnPrv,NA,5,WD,Normal,2.480288325174908
20,RL,1.5476647089811362,2.2579127465278717,Pave,NA,Reg,Lvl,3,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,3,0,PConc,4,3,1,1,0.0,1,1566.0,1566.0,GasA,4,Y,SBrkr,1.998469921523182,0,1.998469921523182,0.0,2,0,3,1,3,7,0,1,4,Attchd,2007.0,0,3.0,890.0,0,0,2,0,56,0,0,0,0,0,NA,NA,7,WD,Normal,2.522050200108415
20,RL,1.4096066464289525,2.184008326729816,Pave,NA,Reg,Lvl,3,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,0,CBlock,3,3,2,4,234.0,3,180.0,900.0,GasA,2,Y,SBrkr,1.9172747212614871,0,1.9172747212614871,0.0,1,0,3,1,3,5,0,0,0,Detchd,2005.0,1,2.0,576.0,0,0,2,222,32,0,0,0,0,0,NA,NA,5,WD,Normal,2.4690776527397835
20,RL,1.5227830126997552,2.2351824676810135,Pave,NA,Reg,Lvl,3,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,3,0,PConc,5,3,1,6,1218.0,1,486.0,1704.0,GasA,4,Y,SBrkr,2.0069694605672828,0,2.0069694605672828,1.0,2,0,3,1,3,7,0,1,4,Attchd,2008.0,0,3.0,772.0,0,0,2,0,50,0,0,0,0,0,NA,NA,5,WD,Normal,2.536181057487848
20,RL,1.3481114856713152,2.2721473183879706,Pave,NA,IR1,Lvl,3,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,0,CBlock,3,3,4,4,1277.0,1,207.0,1484.0,GasA,2,Y,SBrkr,1.998469921523182,0,1.998469921523182,1.0,1,0,2,1,2,6,0,2,4,Attchd,1957.0,0,1.0,319.0,0,0,2,288,258,0,0,0,0,0,NA,NA,12,WD,Normal,2.5049450841367737
30,RM,1.4096066464289525,2.1692944940426124,Pave,NA,IR1,Lvl,3,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,0,BrkTil,3,3,1,1,0.0,1,520.0,520.0,GasA,1,N,SBrkr,1.8331938860315709,0,1.8331938860315709,0.0,1,0,1,1,1,4,0,0,0,Detchd,1920.0,1,1.0,240.0,1,0,2,49,0,87,0,0,0,0,NA,NA,5,WD,Normal,2.4100563915639235
70,C (all),1.3640546328884455,2.2025240041449994,Pave,Pave,Reg,Lvl,3,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,649.0,649.0,GasA,2,N,SBrkr,1.868015434187263,668,1.9717326738200434,0.0,1,0,3,1,2,6,0,0,0,Detchd,1920.0,1,1.0,250.0,0,1,0,0,54,172,0,0,0,0,MnPrv,NA,7,WD,Normal,2.3605364727014044
20,RL,1.4397184637016933,2.2030944891124142,Pave,NA,IR1,Lvl,3,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,0,CBlock,3,3,1,1,0.0,1,1228.0,1228.0,GasA,3,Y,SBrkr,1.9619440742818899,0,1.9619440742818899,0.0,1,1,3,1,3,6,0,0,0,Attchd,1966.0,1,1.0,271.0,0,0,2,0,65,0,0,0,0,0,MnPrv,NA,6,WD,Normal,2.4777181932696375
20,RL,1.4912513280732116,2.231099317349812,Pave,NA,Reg,Lvl,3,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,0,PConc,5,3,3,1,0.0,1,1234.0,1234.0,GasA,4,Y,SBrkr,1.9626290636329418,0,1.9626290636329418,0.0,2,0,3,1,3,7,0,0,0,Attchd,2007.0,0,2.0,484.0,0,0,2,0,30,0,0,0,0,0,NA,NA,1,WD,Normal,2.4932183797867937
20,RL,1.4465648595477707,2.2261435518892982,Pave,NA,IR1,Lvl,3,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,2,0,CBlock,3,3,1,3,1018.0,1,380.0,1398.0,GasA,3,Y,SBrkr,2.006653557771842,0,2.006653557771842,0.0,1,1,4,1,3,6,0,1,4,Attchd,1959.0,0,2.0,447.0,0,0,2,0,38,0,0,0,0,0,NA,NA,4,WD,Normal,2.4862995520656574
120,RL,1.4096066464289525,2.185760095615384,Pave,NA,Reg,Lvl,3,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,4,0,PConc,5,3,1,6,1153.0,1,408.0,1561.0,GasA,4,Y,SBrkr,1.9951195342529935,0,1.9951195342529935,1.0,2,0,2,1,4,6,0,1,4,Attchd,2005.0,2,2.0,556.0,0,0,2,203,47,0,0,0,0,0,NA,NA,8,WD,Normal,2.5284111401704514
60,RL,1.5437533966819692,2.2517498377034997,Pave,NA,Reg,Lvl,3,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,3,0,PConc,5,3,3,1,0.0,1,1117.0,1117.0,GasA,4,Y,SBrkr,1.9504343648770228,1320,2.054720901131998,0.0,3,1,4,1,3,9,0,1,4,BuiltIn,2004.0,2,3.0,691.0,0,0,2,113,32,0,0,0,0,0,NA,NA,9,WD,Normal,2.5369531377945
20,RL,1.5514907132708071,2.229234473322953,Pave,NA,Reg,Lvl,3,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,0,PConc,4,3,1,1,0.0,1,1097.0,1097.0,GasA,4,Y,SBrkr,1.9459579279532022,0,1.9459579279532022,0.0,1,1,3,1,2,6,0,0,0,Attchd,1995.0,1,2.0,672.0,0,0,2,392,64,0,0,0,0,0,NA,NA,6,WD,Normal,2.4752341063164063
20,RL,1.4595599466308458,2.2029392264240175,Pave,NA,Reg,Lvl,3,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,2,0,CBlock,3,3,1,3,1213.0,1,84.0,1297.0,GasA,3,Y,SBrkr,1.9696000548267303,0,1.9696000548267303,0.0,1,0,3,1,2,5,0,1,3,Attchd,1954.0,2,2.0,498.0,0,0,2,0,0,0,0,0,0,0,NA,NA,10,WD,Normal,2.4797427732622266
20,RL,1.4397184637016933,2.1947101942763823,Pave,NA,Reg,Lvl,3,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,1,CBlock,3,3,1,6,731.0,1,326.0,1057.0,GasA,2,Y,SBrkr,1.9406377006478142,0,1.9406377006478142,1.0,1,0,3,1,3,5,0,0,0,Detchd,1953.0,1,1.0,246.0,0,0,2,0,52,0,0,0,0,0,NA,NA,1,WD,Abnorml,2.4509277814347787
90,RL,1.4289675858306226,2.164030739646489,Pave,NA,Reg,Lvl,3,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,2,0,PConc,0,0,0,0,0.0,0,0.0,0.0,GasA,2,N,FuseP,1.9529219149621644,0,1.9529219149621644,0.0,2,0,2,2,1,6,0,0,0,NA,0.0,3,0.0,0.0,3,2,0,0,0,0,0,0,0,0,NA,NA,6,WD,AdjLand,2.4260828375516423
20,RL,1.4885839460327333,2.2045575174922902,Pave,NA,Reg,Lvl,3,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,2,0,CBlock,3,3,1,3,643.0,1,445.0,1088.0,GasA,4,Y,SBrkr,1.9724703874866574,0,1.9724703874866574,0.0,2,0,3,1,2,6,0,1,3,Attchd,1965.0,0,2.0,440.0,0,0,2,0,138,0,0,0,0,0,GdWo,NA,12,WD,Abnorml,2.483483061484839
20,RL,1.557077128137304,2.275765102441036,Pave,NA,Reg,Lvl,3,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,1,CBlock,3,3,4,4,967.0,1,383.0,1350.0,GasA,3,Y,SBrkr,1.9728899461396272,0,1.9728899461396272,0.0,1,1,2,1,2,5,0,2,4,Attchd,1959.0,0,1.0,308.0,0,0,1,0,104,0,0,0,0,0,NA,NA,7,WD,Normal,2.4885295554686895
85,RL,1.4397184637016933,2.210994061772334,Pave,NA,IR1,Lvl,3,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,0,CBlock,4,3,3,5,747.0,2,0.0,840.0,GasA,3,Y,SBrkr,1.9146342698400372,0,1.9146342698400372,1.0,1,0,2,1,3,5,0,0,0,Attchd,1983.0,0,2.0,504.0,0,3,2,240,0,0,0,0,0,0,MnPrv,NA,12,WD,Normal,2.4746516278832043
20,RL,1.4397184637016933,2.21123253539559,Pave,NA,IR1,Lvl,3,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,2,0,CBlock,4,3,3,2,280.0,4,167.0,938.0,GasA,2,Y,SBrkr,1.923335819565629,0,1.923335819565629,1.0,1,0,3,1,2,5,0,0,0,Detchd,1977.0,1,1.0,308.0,0,0,2,145,0,0,0,0,0,0,MnPrv,NA,7,WD,Normal,2.4661663895473787
20,RL,1.4465648595477707,2.195033075412523,Pave,NA,Reg,Lvl,3,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,2,0,CBlock,3,3,1,5,179.0,4,465.0,1150.0,GasA,4,Y,FuseA,1.95267538761539,0,1.95267538761539,1.0,1,0,3,1,2,6,0,0,0,Attchd,1959.0,0,1.0,300.0,0,0,2,0,0,0,0,0,0,0,NA,NA,5,WD,Normal,2.472877519816215
120,RL,1.4136356249281932,2.190927697092706,Pave,NA,Reg,Lvl,3,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,4,0,PConc,5,3,1,6,456.0,1,1296.0,1752.0,GasA,4,Y,SBrkr,2.0106959527628603,0,2.0106959527628603,1.0,2,0,2,1,4,6,0,1,4,Attchd,2005.0,0,2.0,576.0,0,0,2,196,82,0,0,0,0,0,NA,NA,2,WD,Normal,2.5396918021738597
50,RL,1.3535647976324747,2.2469579710800005,Pave,NA,IR1,Lvl,3,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,0,PConc,5,3,1,6,1351.0,1,83.0,1434.0,GasA,4,Y,SBrkr,1.9913134902534415,631,2.0376761200641496,1.0,1,1,1,1,3,6,0,1,5,Attchd,2003.0,0,2.0,670.0,0,0,2,168,43,0,0,198,0,0,NA,NA,8,WD,Abnorml,2.51665439858036
20,FV,1.4885839460327333,2.2315551440008656,Pave,NA,Reg,Lvl,3,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,0,PConc,4,3,3,6,24.0,1,1632.0,1656.0,GasA,4,Y,SBrkr,2.003121939995032,0,2.003121939995032,0.0,2,0,3,1,3,7,0,0,0,Attchd,2006.0,0,3.0,826.0,0,0,2,0,146,0,0,0,0,0,NA,NA,7,WD,Normal,2.519953236804234
190,RM,1.251764630741022,2.128470579888869,Pave,NA,Reg,Lvl,3,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,0,BrkTil,3,3,1,1,0.0,1,736.0,736.0,GasA,3,Y,SBrkr,1.8872560132910698,716,1.9852266262198803,0.0,2,0,2,3,2,8,0,0,0,NA,0.0,3,0.0,0.0,3,2,0,0,0,102,0,0,0,0,NA,NA,6,New,Partial,2.4540300955780205
